Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
11,dnb,22,2,0,50.00,3,caught,1,, West Indies,North Sound,30 Jun 2017
3,dnb,12,0,0,25.00,3,caught,2,, West Indies,North Sound,2 Jul 2017
111*,dnb,115,12,2,96.52,3,not out,2,, West Indies,Kingston,6 Jul 2017
82*,dnb,70,10,1,117.14,3,not out,2,, Sri Lanka,Dambulla,20 Aug 2017
4,dnb,2,1,0,200.00,5,bowled,2,, Sri Lanka,Pallekele,24 Aug 2017
3,dnb,11,0,0,27.27,3,caught,2,, Sri Lanka,Pallekele,27 Aug 2017
131,dnb,96,17,2,136.45,3,caught,1,, Sri Lanka,Colombo (RPS),31 Aug 2017
110*,dnb,116,9,0,94.82,3,not out,2,, Sri Lanka,Colombo (RPS),3 Sep 2017
0,7,4,0,0,0.00,3,caught,1,, Australia,Chennai,17 Sep 2017
92,148,107,8,0,85.98,3,bowled,1,, Australia,Eden Gardens,21 Sep 2017
28,58,35,2,0,80.00,3,caught,2,, Australia,Indore,24 Sep 2017
21,23,21,3,0,100.00,3,bowled,2,, Australia,Bengaluru,28 Sep 2017
39,73,55,2,0,70.90,3,caught,2,, Australia,Nagpur,1 Oct 2017
121,203,125,9,2,96.80,3,caught,1,, New Zealand,Wankhede,22 Oct 2017
29,40,29,3,1,100.00,3,caught,2,, New Zealand,Pune,25 Oct 2017
113,166,106,9,1,106.60,3,caught,1,, New Zealand,Kanpur,29 Oct 2017
112,164,119,10,0,94.11,3,caught,2,, South Africa,Durban,1 Feb 2018
46*,64,50,4,1,92.00,3,not out,2,, South Africa,Centurion,4 Feb 2018
160*,220,159,12,2,100.62,3,not out,1,, South Africa,Cape Town,7 Feb 2018
75,119,83,7,1,90.36,3,caught,1,, South Africa,Johannesburg,10 Feb 2018
36,76,54,2,0,66.66,3,run out,1,, South Africa,Gqeberha,13 Feb 2018
129*,123,96,19,2,134.37,3,not out,2,, South Africa,Centurion,16 Feb 2018
75,dnb,82,7,0,91.46,3,stumped,2,, England,Nottingham,12 Jul 2018
45,dnb,56,2,0,80.35,3,lbw,2,, England,Lord's,14 Jul 2018
71,98,72,8,0,98.61,3,bowled,1,, England,Leeds,17 Jul 2018
140,dnb,107,21,2,130.84,3,stumped,2,, West Indies,Guwahati,21 Oct 2018
157*,217,129,13,4,121.70,3,not out,1,, West Indies,Visakhapatnam,24 Oct 2018
107,dnb,119,10,1,89.91,3,bowled,2,, West Indies,Pune,27 Oct 2018
16,dnb,17,2,0,94.11,3,caught,1,, West Indies,Brabourne,29 Oct 2018
33*,57,29,6,0,113.79,3,not out,2,, West Indies,Thiruvananthapuram,1 Nov 2018
3,10,8,0,0,37.50,3,caught,2,, Australia,Sydney,12 Jan 2019
104,150,112,5,2,92.85,3,caught,2,, Australia,Adelaide,15 Jan 2019
46,dnb,62,3,0,74.19,3,caught,2,, Australia,Melbourne,18 Jan 2019
45,59,59,3,0,76.27,3,caught,2,, New Zealand,Napier,23 Jan 2019
43,59,45,5,0,95.55,3,caught,1,, New Zealand,Mount Maunganui,26 Jan 2019
60,94,74,6,1,81.08,3,caught,2,, New Zealand,Mount Maunganui,28 Jan 2019
44,dnb,45,6,1,97.77,3,lbw,2,, Australia,Hyderabad,2 Mar 2019
116,dnb,120,10,0,96.66,3,caught,1,, Australia,Nagpur,5 Mar 2019
123,dnb,95,16,1,129.47,3,bowled,2,, Australia,Ranchi,8 Mar 2019
7,dnb,6,1,0,116.66,4,caught,1,, Australia,Mohali,10 Mar 2019
20,dnb,22,2,0,90.90,3,caught,2,, Australia,Delhi,13 Mar 2019
18,44,34,1,0,52.94,3,caught,2,, South Africa,Southampton,5 Jun 2019
82,128,77,4,2,106.49,3,caught,1,, Australia,The Oval,9 Jun 2019
77,105,65,7,0,118.46,3,caught,1,, Pakistan,Manchester,16 Jun 2019
67,105,63,5,0,106.34,3,caught,1,, Afghanistan,Southampton,22 Jun 2019
72,146,82,8,0,87.80,3,caught,1,, West Indies,Manchester,27 Jun 2019
66,103,76,7,0,86.84,3,caught,2,, England,Birmingham,30 Jun 2019
26,45,27,3,0,96.29,3,caught,1,, Bangladesh,Birmingham,2 Jul 2019
34*,61,41,3,0,82.92,3,not out,2,, Sri Lanka,Leeds,6 Jul 2019
1,8,6,0,0,16.66,3,lbw,2,, New Zealand,Manchester,9 Jul 2019
0,dnb,dnb,dnb,dnb,dnb,dnb,dnb,dnb,, West Indies,Providence,8 Aug 2019
120,179,125,14,1,96.00,3,caught,1,, West Indies,Port of Spain,11 Aug 2019
114*,127,99,14,0,115.15,3,not out,2,, West Indies,Port of Spain,14 Aug 2019
4,dnb,4,1,0,100.00,3,bowled,1,, West Indies,Chennai,15 Dec 2019
0,dnb,1,0,0,0.00,3,caught,1,, West Indies,Visakhapatnam,18 Dec 2019
85,dnb,81,9,0,104.93,3,bowled,2,, West Indies,Cuttack,22 Dec 2019
16,dnb,14,0,1,114.28,4,caught,1,, Australia,Wankhede,14 Jan 2020
78,dnb,76,6,0,102.63,3,caught,1,, Australia,Rajkot,17 Jan 2020
89,dnb,91,8,0,97.80,3,bowled,2,, Australia,Bengaluru,19 Jan 2020
51,88,63,6,0,80.95,3,bowled,1,, New Zealand,Hamilton,5 Feb 2020
15,31,25,1,0,60.00,3,bowled,2,, New Zealand,Auckland,8 Feb 2020
9,20,12,0,1,75.00,3,caught,1,, New Zealand,Mount Maunganui,11 Feb 2020
21,dnb,21,2,1,100.00,3,caught,2,, Australia,Sydney,27 Nov 2020
89,dnb,87,7,2,102.29,3,caught,2,, Australia,Sydney,29 Nov 2020
